2018-11-05 21:43:56.242215,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-05 21:44:06.354427,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.354977,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.355421,1078,52.94.235.50,443,1.0,-1836481426,1,1,,1,not_relevant
2018-11-05 21:44:06.355453,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:44:06.355537,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:44:06.358446,295,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.360647,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.396454,1078,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.406568,706,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.408107,1078,52.94.235.50,443,1.0,52,1,1,,1,not_relevant
2018-11-05 21:44:06.421401,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.426442,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.440656,1078,52.94.235.50,443,1.0,32,1,1,,1,not_relevant
2018-11-05 21:44:06.448299,1078,52.94.235.50,443,1.0,7,1,1,,1,not_relevant
2018-11-05 21:44:06.463214,1078,52.94.235.50,443,1.0,14,1,1,,1,not_relevant
2018-11-05 21:44:06.463576,373,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.463612,74,54.239.26.255,443,1.0,1200970401,0,1,,1,retransmit
2018-11-05 21:44:06.492081,1078,52.94.235.50,443,1.0,28,1,1,,1,not_relevant
2018-11-05 21:44:06.492135,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:44:06.492198,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:44:06.505379,1078,52.94.235.50,443,1.0,13,1,1,,1,not_relevant
2018-11-05 21:44:06.505743,972,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.507454,54,54.239.26.255,443,1.0,43,1,1,,1,ack
2018-11-05 21:44:06.508867,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-05 21:44:06.532645,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.540212,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.554966,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.555147,54,54.239.26.255,443,1.0,47,1,1,,1,ack
2018-11-05 21:44:06.555304,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-05 21:44:06.566573,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.588075,54,52.94.235.50,443,1.0,82,1,1,,1,ack
2018-11-05 21:44:06.600877,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.614536,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.636014,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.642442,766,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.649317,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.679044,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.693573,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-05 21:44:06.693780,54,54.239.26.255,443,1.0,138,1,1,,1,ack
2018-11-05 21:44:06.698658,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.712432,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.726443,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.732367,54,54.239.26.255,443,1.0,38,1,1,,1,ack
2018-11-05 21:44:06.761623,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.789184,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.789646,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.810957,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.838553,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.852730,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.873888,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.887463,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.921965,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.923450,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.924656,1078,52.94.235.50,443,1.0,336,1,1,,1,not_relevant
2018-11-05 21:44:06.926043,1078,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-05 21:44:06.971428,1078,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.971848,472,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.971873,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:06.999588,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:44:07.013452,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
